Barcode	Author	Title	Description	Keywords	Publisher	Date	Status	TimesLent	ISBN	Value	BindingPages
104666	Bradlaugh Charles 	Debates in Theology		Theology		1882	Reference				
104668	Bradley Brad	Flax Trader	A New Zealand Story	Historical Novel		2010	Lending				
106655	ley D Raymond	Not a Dull Life	A child of the NZ Depression	Autobiography	Vulpine Press UK	2018	Lending		978-1-912701-38-4		
106606	Bradley Raymond D	God's Gravediggers; why no Diety exists		Atheism	Ochamam Publishing	2015	Lending				
106607	Bradley, Raymond D	God's Gravediggers; why no Diety exists		Atheism							
104661	Bradley Rebecca	Lateral Truth The	an apostates Bible Stories			2007	Lending				
100586		Shakespeare's Scepticism		Shakespeare	Cornell University Press	1987	Lending		0-8014-9910-0	US$18.95	P/269
100587	Bragg, Sir William	Craftsmanship and Science		Science	Watts & Co	1928	Lending				H/57
100588	Bragg, Sir William	Craftsmanship and Science		Science	Watts & Co	1928	Reference				H/57
102341	Brailsford, Henry Noel	Voltaire		Biography	Thornton Butterworth Ltd	1935	Reference				H/255
102341	Branden, Nathaniel	Psychology of Self-Esteem, The		Psychology /Self-Help	Bantam Books	1987	Lending		0-553-27188-1	$5.00	P/260
106302	Brandon S. G. F.	The Trial of Jesus of Nazareth		Jesus	B.T.Batsford Ltd. London	1968	Lending		0-7134-1250-X		
104782	Brandon S. G. F.	History, Time and Deity					Lending				
104801	Brandon S. G. F.	Man and his Destiny in the Great Religions		Theology	University of Manchester	1962	Lending				
104649	Brasch, Charles (Ed.)	Landfall 77: A New Zealand Quarterly		New Zealand	The Caxton Press	1966	Lending				108/P
102705	Brasch, Charles 	New Zealand Quarterly Religion in N. Z. Land Fall 77		N.Z Religion		1966	Lending				
104570	Brash, Donald T.	New Zealand's Remarkable Reforms		New Zealand / Economics	Institute of Economic Affairs	1996	Lending		0-255-36400-8	$15.00	P/56
100589	Breasted, James Henry	Survey of the Ancient World		Ancient History	Ginn & Co Boston	1919	Reference				H/417
100590	Brendann E	Death Customs	An analytical Study of burial rites	Death / Parapsychology		1930	Reference				
100479	Brenneman, Richard, J.	Deadly Blessings: Faith Healing On Trial		Faith Healing	Prometheus Books	1990	Lending	2	0-87975-580-6		H/390
106377	Bretall, Robert [ed.]	A Kierkegaard anthology		Philosophy	Princeton University Press	1946	Lending		0-691-01978-9		
106101	Breverton, Terry	Immortal Last words		Anthology	Quercus	2010	Lending		978-1-84916-478-8		
100590	Brewer, E. Cobham	Dictionary of Miracles, A.		Miracles / Dictionary	Chatto & Windus	1897	Reference				H/582
102687	Brichto, Sidney & Harries, Richard (Eds.)	Two Cheers for Secularism		Secularism / Critique	George Robertson and Company	1998	Lending		1-899044-16-7		P/151
100592	Bridges, Horace J	Emerging Faith, The		Freethought	Watts & Co	1937	Reference				H/149
100593	Bridges, Horace J	Signs of the Times in Religion		Religion	Watts & Co	1936	Lending				H/236
100594	Bridges, Horace J	Signs of the Times in Religion		Religion	Watts & Co	1936	Reference				H/236
100601	Bridgstock, M & Smith, K	Creationism - An Australian Perspective		Creationism	Australian Skeptics	1986	Lending	1			P/90
100595	Briffault, Robert	Making of Humanity, The		Anthropology	George Allen & Unwin	1919	Reference				H/371
100599	Briffault, Robert	Mothers, The		Sociology	George Allen & Unwin	1959	Reference				H/451
100596	Briffault, Robert	Reasons for Anger		Psychology	Robert Hale	1937	Reference				H/256
100597	Briffault, Robert	Reasons for Anger		Psychology	Robert Hale	1937	Reference				H/265
102569	Bright, Charles & Green, M.W.	Divine Origin of Christianity		Christianity / Debate	Geo T.Clarke	1879	Reference				P/133
100602	Brinton, Crane	Shaping of Modern Thought, The		History / Philosophy	Prentice-Hall	1963	Lending	1			P/249
100603	British Humanist Assoc	Honest to Our Children ; A Pamphlet for Parents and Others		Education	BHA	1965	Lending				P/24
100604	Britten, Emma Hardinge	Faiths, Facts, and Frauds of Religious History, The		Religion	Two Worlds Publishing	1906	Reference				P/128
106472	Boman Thorlief	Hebrew Thought compared with Greek		Theology	SCM Press Ltd	1960	Lending				
100607	Brome, Vincent	H G Wells: A Biography		Biography	Longmans Green And Co	1951	Reference				H/255
100609	Brondsted, H V	Atomic Age and Our Biological Future, The		Science	Watts & Co	1957	Lending				H/80
100608	Brondsted, H V	Atomic Age and Our Biological Future, The		Science	Watts & Co	1957	Reference				H/80
100610	Bronowski, J.	Ascent of Man, The		Anthropology	BBC	1975	Lending	4	0-563-104988		H/448
102700	Bronowski, J.	Identity of Man, The		Psychology	Penguin Books	1967	Lending				P/107
101762	Bronowski, J.	Science and Human Values		Science / Values	Penguin Books	1964	Lending				P/94
100611	Bronowski, J.	Ascent of Man The				1973	Lending				
104156	Bronowski, J.	Idenitity of Man The				1965	Lending				
104177	Bronowski, J.	Science & Human Values				1956	Lending				
106328	Bronte, Emily	Wuthering Heights		Literature	Oxford University Press	1901	Lending				
104762	Brook, F A	Science of Social Development, The : A Study in Anthropology		Anthropology	Watts & Co	1936	Reference				H/337
106462	Brooks. J.A.	Railway Ghosts	Sixteen Stories of the Supernatural from the Golden Age of Steam in Britain	Fiction	Jarrold Publishing Norwich	1985	Lending		0-7117-0245-4		
106077	Brookesmith, Peter (ed)	The Enigma of Time: The last great puzzle of the universe		Science	Oris Publishing	1984	Lending		0-85613-978-5		
102340	Brooke, Christopher	Europe in the Central Middle Ages: 962-1154		History / Middle Ages	Longman	1975	Lending		0-582-48476-6		P/403
100612	Brooke, Dorothy	Private Letters; Pagan and Christian		Letters	Ernest Benn	1929	Reference				H/207
106277	Brooke, Rupert	The Poetical works of Rupert Brooke	Edited by Geoffrey Keynes	Poetry	Faber & Faber	1946	Lending		0-571-04704-1		
100613	Brooks, D M	Necessity of Atheism, The		Atheism	Freethought Press Association	1933	Reference				H/322
100692	Broom, Neil	How Blind is the Watchmaker? : Theism or Atheism : Should Sciencde Decide		Creationism / NZ	Ashgate	1998	Lending	1	1-84014-517-X		H/207
102450	Broom, Neil	How Blind is the Watchmaker? : Theism or Atheism : Should Sciencde Decide		Creationism / NZ	Ashgate	1998	Reference	1	1-84014-517-X		H/207
100614	Broom, R	Finding the Missing Link		Anthropology	Watts & Co	1950	Reference				H/111
102607	Brothers, Joan (ed)	Readings in the Sociology of Religion		Religious Studies	Pergamon Press	1967	Lending		08-012187-X		P/306
	Brown, James	Subject and Object in Modern Theology		Theology	SCM Press Ltd	1955	Lending				
106592	Brown Callum	Religion in Scots Law	The 13 ort of an audit at the University of Glasgow books, the works of Archimedes: Conics: Introduction to Arithmetic 								
106178	Brown J A C	Distressed Mind, The		Psychology	Watts & Co	1949	Lending				H/154
100616	Brown J A C	Distressed Mind, The		Psychology	Watts & Co	1946	Reference				H/154
100615	Brown J A C	Evolution of Society		Sociology	Watts & Co	1947	Reference				H/184
100617	Brown J A C	Evolution of Society, The		Sociology	Watts & Co	1947	Lending	1			H/184
100618	Browning, D. C.	Everyman's dictionary of Shakespeare quotations		Literature	J M Dent	1953	Lending				
106045	Bruce, Bryan	Jesus: The Cold case		Jesus	Random House	2010	Lending		978-1-86979-197-1		
106401	Bruce-Mitford, Miranda	The Illustrated Book of Signs and Symbols	Thousands of signs and symbols from around the world	Anthropology	RD Press	1996	Lending		0-86450-051-3		
104884	Bryant, Mark	Riddles, Ancient & Modern		Literature	Hutchinson	1983	Lending		0-09-151301-4		
106161	Bryson Bill	Short History Of Everything A	Science History	Science	Random House	2003	Lending				
104818	Brown, William Montgomery [McCabe, Joseph]	Bankruptcy of Christian Supernaturalism, The (Vol I)		Christianity	Bradford-Brown Educational Company Galion	1930	Reference				
102684	Brown, William Montgomery [McCabe, Joseph]	Bankruptcy of Christian Supernaturalism, The (Vol II)		Christianity	Bradford-Brown Educational Company Galion	1930	Reference				P/239
100624	Brown, William Montgomery [McCabe, Joseph]	Bankruptcy of Christian Supernaturalism, The (Vol III)		Christianity	Bradford-Brown Educational Company Galion	1930	Reference				P/291
100625	Brown, William Montgomery [McCabe, Joseph]	Bankruptcy of Christian Supernaturalism, The (Vol IV)		Christianity	Bradford-Brown Educational Company Galion	1930	Reference				P/306
100626	Brown, William Montgomery [McCabe, Joseph]	Bankruptcy of Christian Supernaturalism, The (Vol VI)		Christianity	Bradford-Brown Educational Company Galion	1930	Reference				P/289
100628	Brown, William Montgomery [McCabe, Joseph]	Bankruptcy of Christian Supernaturalism, The (Vol VI)		Christianity	Bradford-Brown Educational Company Galion	1930	Reference				P/325
100629	Brown, William Montgomery [McCabe, Joseph]	Bankruptcy of Christian Supernaturalism, The (Vol VII)		Christianity	Bradford-Brown Educational Company Galion	1930	Reference				
100630	Brown, William Montgomery [McCabe, Joseph]	Bankruptcy of Christian Supernaturalism, The (Vol VIII)		Christianity	Bradford-Brown Educational Company Galion	1930	Reference				
100631	Bruce, Evangeline	Napoleon and Josephine: An Improbable Marriage		Biography / Bonaparte, Napoleon	Phoenix	1993	Lending		1-85799-489-2	$15.00	P/555
104884	Bruce-Mitford, Miranda	The Illustrated Book of Signs and Symbols		Symbolism	Dorling Kindersley	1996	Lending		0-86450 051 3		
102087	Bruce, Steve	Pray TV - Televangelism in America		Christianity / Televangelism	Routledge	1990	Lending	2	0-413-03098-6	£10.99	P/288
100632	Brueghel, Pieter	Children's Games		Games / Children	Hallwag Ltd	1964	Lending				H/
101825	Brush, John W.	Who's who in Church history		History	Hodder & Stoughton	1963	Lending				
106361	Bucci, Mario	Giotto		Art History / Giotto	Thames and Hudson	1966	Lending				P/39
102697	Buchner, Ludwig	Force and Matter		Philosophy / Psychology	Peter Eckler	1891	Reference				H/400
100634	Buchner, Ludwig	Mind in Animals		Biology / Psychology	Freethought Publishing Company	1880	Reference				H/359
100635	Buckle, Henry Thomas	Introduction to the History of Civilization in England		History / England	George Routledge & Sons Ltd.	1857	Reference				H/915
100638	Buddhist Promoting Foundation	The Teaching of Buddha		Buddhism	Kosaido Printing Co., Ltd.	1981	Lending				
106435	Budge, Sir Ernest Alfred Thompson Wallis	Book of the Dead, The (Vol I)		Ancient Egypt	Kegan Paul Trench & Trubner	1910	Reference				H/305
104805	Budge, Sir Ernest Alfred Thompson Wallis	Book of the Dead, The (Vol III)		Ancient Egypt	Kegan Paul Trench & Trubner	1910	Reference				H/200
100639	Buber Martin	Prophetic Faith The	Israel Faith	Theology	The Macmillan Company New York 	1949	Lending				
104806	Bulfinch, Thomas	Age of Fable, The		Mythology	S.W. Tilton & Co.	1855	Reference				H/487
100643	Bulfinch, Thomas	Bulfinch's Mythology		Mythology	Random House	1867	Reference				H/778
100642	Bullock, Alan	Humanist Tradition in the West, The		Humanism	W.W. Norton & Company	1985	Lending		0-393-02237-4		208/H
100642	Bullock, A.; Stallybrass, O.;	The Fontana Dictionary of Modern Thought		Dictionary	Collins	1977	Lending		0-00216149-4		
106330	Bultmann Rudolf	Jesus Christ and Mythology		Christianity / Theology	SCM Press Ltd	1958	Lending				
106199	Bultmann Rudolf	The second letter to the Corinthians	Translated by Roy A. Harrisville	Theology	Augsburg Publishing house	1976	Lending		0-8066-2023-4		
106180	Bultmann Rudolf	Primitive Christianity: in its contemporary setting		Christianity	Collins	1956	Lending				
106170	Bultmann Rudolf	Theology of the new testament		Theology	Lowe & Brydone Ltd London	1952	Lending				
104796	Bultmann Rudolf	Future of Our Religious Past The : Essays: in honour of R Bultman	Edited by James M Robinson	Theology	S C M Press Ltd london	1971	Lending				
104805	Bultmann Rudolf	Theology of the New Testament		Theology	William Clowes * Sons Great Britain	1955					
104812	Bultmann Rudolf	History and Eschatology	The Gifford Lectures	Theology	Edinburgh University Press	1955	Lending				
106512	Bullinger, Ethelbert W.	A critical lexicon and concordance to the English and Greek New Testament		Testament	The Lamp Press, London	1957	Lending				
106263	Bullock, Alan & Stallybrass, Oliver	Fontana Dictionary of Modern Thought, The		Dictionary	Fontana	1983	Reference		0-00-636740-2		H/684
100644	Bullough, Vern L	Subordinate Sex, The : A History of Attitudes Towards Women		Sociology / Woman	Penguin	1974	Lending	1			P/375
100645	Bunyan, John	Pilgrim's Progress, The		Fiction	SCM Press Ltd.	1947	Lending				H/318
100979	Burbank, Luther	Architect of Nature, An		Autobiography	Watts & Co	1939	Lending				H/139
100648	Burbank, Luther	Architect of Nature, An		Autobiography	Watts & Co	1939	Reference				H/139
100647	Burdon, R.M.	Scholar Errant: A Biography of Professor A.W. Bickerton		Biography / Bickerton, A.W.	The Pegasus Press	1956	Reference				H/149
102867	Buren, Paul V.	The Secular meaning of the Gospel		Theology	SCM Press Ltd	1963	Lending				
106175	Burenhult Goran :Ed	People of the Past	Story of human origins & development			2003	Lending				
100651	Burgess, Henry T.	Agnosticism From A Moral and Spiritual Point of View		Christian Apologetics	George Robertson and Company	1888	Reference				H/236
104658	Burke, Edmund	Edmund Burke: Selections from His Political Writings and Speeches		Esays / Speeches	T Nelson & Sons	1797	Reference				H/476
100658	Burke, John Butler	Origin of Life, The: Its Physical Basis and Definition		Biology	Chapman & Hall Ltd	1906	Reference				H/351
100659	Burl, Aubrey	God's Heretics: The Albigensian Crusade		Heretic	Sutton Publishing	2002	Lending		0-7509-2572-8		
106043	Burnet, John	Early Greek Philosophy		Philosophy / Ancient Greece	Adam & Charles Black	1892	Lending				H/375
102847	Burns Patout. J.	Theological Anthropology		Etymology Sociology	Fortress Press	1981	Lending		0-80061412-7		
104859	Burnet, Macfarlane	Endurance of Life : The Implications of Genetics for Human Life		Biology / Ageing	Melbourne University Press	1978	Lending		0-522-84161-9		P/230
102515	Burns, Robert E	Wrath of Allah, The		Islam	A Ghosh	1994	Reference		1-880628-01-5	$26.00	P/192
100660	Burns, Robert E	Wrath of Allah, The (Revised Edtn)		Islam	A. Ghosh	1994	Lending		0-646-21062-9	$26.00	P/192
102445	Burnell Dr A William	Compassion Tempered by Reality	Memoirs	Memoirs		2006	Lending				
100661	Burnams Tom	Dictionary of Misinformation The				1975	Lending				
104662	Burr, William Henry	Self Contradictions of the Bible		Bible	Prometheus Books	1987	Lending	9	0-87975-416-8		H/96
104158	Burr, William Henry	Self Contradictions of the Bible		Bible	Prometheus Books	1987	Reference		0-87975-416-8		H/96
103079	Buruma Ian & A Margalit	Occidentalism	a short story of anti-westernism	a critique		2004	Lending				
102856	Bury, John	History of Freedom of Thought, A		Freethought / History	Williams & Norgate	1911	Reference				H/256
104663	Butler, Bishop	Analogy of Religion Natural & Revealed, The		Religion	J.M. Dent & Co.	1906	Lending				280/H
100662	Butler, Samuel	Erewhon		Fiction	Penguin Books	1970	Lending				P/269
100664	Butler, Samuel	Erewhon Revisited		Fiction	Samuel Page	1923	Lending				H/337
100665	Butler, Samuel	Fair Haven, The		Philosophy	Watts & Co	1938	Lending				H/233
100666	Butler, Samuel	Fair Haven, The		Philosophy	Watts & Co	1938	Reference				H/233
100667	Butler, Samuel	Note Books of Samuel Butler, The		Philosophy	AC Fifield	1912	Reference				H/438
100668	Butt, Andor	Crisis in Christendom		Freethought	Watts & Co	1942	Reference				H/89
100669	Buttle, Myra [Pseud. Victor W. Purcell]	Bitches' Brew, The		Bertrand Russell	Watts & Co	1960	Lending				H/87
100671	Buttle, Myra [Pseud. Victor W. Purcell]	Bitches' Brew, The		Bertrand Russell	Watts & Co	1960	Reference				H/87
100670	Byron, Lord	The Poetical Works of Lord Byron		Poetry	Oxford University Press	1935	Reference				
106250	C.R.A.	What Are We To Believe?		Humanism	Watts & Co	1913	Reference				H/138
100002	Cafferata Cannon	Catechism Simplyy Explained The  1897 Revised		Catholicism		1954	Lending				
100673	Cahill, E (Rev)	Freemasonry and the Anti Christian Movement		Freemasonry / Christianity	M H Gill	1959	Reference				H/271
104180	Cairns-Smith, A. G.	Seven Clues to the Origin of Life : A Scientific Detective Story		Biology / Biogenesis	Cambridge University Press	1993	Lending	3	0-521-39828-2		P/131
100674	Cairns, David	The Memoirs of Berlioz		Biographies	Cox and Wyman Ltd.	1970	Lending				
104920	Calaprice, Alice	The Expanded quotable Einstein		Quotes	Princeton University Press	2000	Lending		0-691-07021-0		
104905	Calder, Nigel	Einstein's Universe		Physics / Cosmology	Greenwich House	1982	Lending	2	0-517-385708		H/154
100675	Calderwood, Henry	Evolution and Man's Place in Nature		Evolution / Philosophy	MacMillan	1893	Reference				H/349
100678	Calderwood, Henry	Hand-Book of Moral Philosophy		Philosophy / Ethics	MacMillan & Co.	1891	Reference				P/376
100679	Caldwell Andrew	Death 	Essays			russ					
100725	Callaway, Charles	King David of Israel: A Study in the Evolution of Ethics		Judaism / Ethics	Watts & Co	1905	Reference				H/171
104779	Callaway, Charles	King David of Israel: A Study in the Evolution of Ethics		Judaism / Ethics	Watts & Co.	1905	Reference				P/171
103038	Callicott, J. Baird	In Defense of the Land Ethic : Essays in Environmental Philosophy		Ecology / Philosophy	SUNY Press	1989	Lending	1	0-88706-899-5		H/325
100726	Calvin, W. H.	How Brains Think : Evolving Intelligence, Then and Now		Neuroscience	HarperCollins	1996	Lending	1	0-297-81639-X		P/184
100364	Calvocoressi, Peter	Who's Who in the Bible		Bible	Guild Publishing	1987	Lending				H/269
100727	Camilleri Martin	Dirty Tricks of the Brain	A politically incorrect journey into the workings of the brain that reveals the reason the mental health profession, religion and new age philosophies can do more harm than good.	Phsycology	Down loaded	1990	Reference				
106590	Campbell, C et al	Rationalism in the 1970's		Rationalism	Pemberton	1973	Reference		301-72044-4		P/111
100728	Campbell, Colin et.al.	Rationalism in the 1970's		Rationalism / History	Pemberton Books	1973	Lending				P/111
103080	Campbell, John Logan	Poenamo			Golden Press / Whitcombe & Tombs	1973	Lending		0-8558-277-4		H/239
100729	Campbell Joseph	Portable Jung The	A selection from the vast corpus of Carl Jungs writings	Mythology	penguin Group	1971	Lending		0-14-015-070-6		
106568	Campbell Joseph	The Inner Reaches of Outer Space 	Metaphor as Myth & as religion	Mythology	New Library Foundation 	1986	Lending		1-57731-209-0		
100730	Campbell Joseph	The Inner Reaches of Outer Space	Metaphor as Myth & as religion	Mythology	New Library Foundation 	1986	Lending		1-57731-209-0		
104915	Campbell Joseph	The Power of myth		Mythology	Anchor Books	1988	Lending		0-385-41886-8		
104978	Campbell, Patrick	Mythical Jesus, The		Jesus	Rationalist Assn	1963	Lending	1			H/62
104650	Campbell, Patrick	Mythical Jesus, The		Jesus	Rationalist Assn	1963	Reference				H/62
100731	Campbell Patrick	Mythlcal Jesus The		Jesus	Rationalist Assn	1963	Lending				
100733	Campbell, W A	Crucifixion and Resurrection of Jesus, The		Jesus	Pioneer Press	1933	Lending				P/99
104171	Campbell, W A	Crucifixion and Resurrection of Jesus, The		Jesus	Pioneer Press	1933	Reference				H/99
100732	Camus, Albert	Carnets 1942 - 1951: Camus' Diary and Working Notebooks		Philosophy	Hamish Hamilton	1966	Lending				H/212
103057	Camus, Albert	Collected Fiction of Albert Camus, The		Philosophy	Hamish Hamilton	1965	Lending				H/400
103052	Camus, Albert	Myth of Sisyphus, The		Philosophy	Penguin	1977	Lending	1			P/191
100734	Canary, Robert H. and Kozicki, henry (Eds.)	Writing of History, The: Literary Form and Historical Understanding		Historiography	University of Wisconsin Press	1978	Lending		0-299-07570-2	$14.00	H/165
103062	Canfora, Luciano	Vanished Library, The: A Wonder of the Ancient World		History	Univ. of California Press	1990	Lending		0-520-07255-3	$NZ 20.00	P/205
102901	Canning, John	One Hundred Great Events That Changed the World		History	Odhams Books Ltd.	1966	Lending	1			H/672
100173	Cantor, Norman F.	Inventing the Middle Ages: The Lives, Works, and Ideas of the Great Medievalists of the Twentieth Century		Middle Ages / Historiography	Quill	1991	Lending		0-688-12302-3	$14.00	P/477
103063	Capra, Fritjof	The Tao of Physics	Second edition revised and updated	Science / Philosophy	Shambhala publications	1984	Lending		0-553-26379-X		
104904	Cardew, Sir Alexander G	Short History of the Inquisition, A		Catholocism / Inquisition	Watts & Co	1933	Reference				H/115
100735	Cardiff, Ira D	What Great Men Think of Religion		Religion	Christopher Publishing House	1949	Reference				H/503
100736	Cardiff, Ira D	The wisdom of George Santayana [ Atoms of Thought ]		Philosophy	Philosophical Library	1964	Lending				
106627	Carlshausen. John	Religion Delusion	A book about the folly of religion. Family break downs,oppression of women,war, terrorism, John visits them all, a fun fact collection of stories	Religion	ASPG Australia	2018	Lending		9780648245223		
104944	Carlyle, A J	Christian Church and Liberty, The		Politics / Christianity	James Clarke	1924	Reference				H/159
100738	Carlyle, Thomas	History of Friedrich II of Prussia: Vol I		Biography	Chapman & Hall	1894	Reference				H/346
100739	Carlyle, Thomas	History of Friedrich II of Prussia: Vol II		Biography	Chapman & Hall	1894	Reference				H/289
100740	Carlyle, Thomas	Life of Friedrich Schiller, The		Biography	Chapman & Hall	1845	Reference				H/296
100741	Carlyle, Thomas	Oliver Cromwell's Letters and Speeches: Vol I		Cromwell	J M Dent	1881	Reference				H/376
100742	Carlyle, Thomas	Oliver Cromwell's Letters and Speeches: Vol II		Cromwell	J M Dent	1881	Reference				H/386
100743	Carlyle, Thomas	Oliver Cromwell's Letters and Speeches: Vol III		Cromwell	J M Dent	1881	Reference				H/448
100744	Carmichael, Joel	Death of Jesus, The		Jesus	Victor Gollancz	1963	Lending	1			H/275
100744	Carmichael, Joel	Death of Jesus, The		Jesus	Victor Gollancz	1962	Reference				H/275
100746	Carmichael, Joel	Unriddling of Christian Origins, The : A Secular Account		Christianity / Origins	Prometheus Books	1995	Lending	3	0-87975-952-6		H/425
100748	Carpenter, Edward	Origins of Pagan and Christian Beliefs, The		Theology	Senate	1996	Lending		1-85958-196-X		P/318
102446	Carpenter, Edward	Pagan and Christian Creeds: Their Origin and Meaning		Theology	George Allen & Unwin	1920	Reference				H/318
100750	Carpenter, Edward	Origins of Pagan and Christian Beliefs, The		Theology	Senate	1996	Lending		1-85958-196-X		
104955	Carpenter, J Estlin	Comparative Religion		Theology	Williams & Norgate	1911	Lending				H/256
100751	Carpenter, J Estlin	Comparative Religion		Theology	Williams & Norgate	1911	Lending				H/256
100752	Carpenter, J Estlin	Historical Jesus and the Theological Christ, The		Theology	Phillip Green	1911	Reference				H/231
100753	Carpenter J Estlin	Comparitive Religion		Theology	Will & Norgate	1911	Lending				
104797	Carpenter, Humphrey; Prichard Mari	The Oxford companion to Children's literature		Literature	Oxford University Press	1984	Lending		0-19-211582-0		
106165	Carr, Brian	Bertrand Russelll: An Introduction		Russell, Bertrand	George Allen & Unwin Ltd	1975	Lending		0-04-192033-3		149/P
100753	Carr, E. H.	What is history?		History	Penguin	1961	Lending		978-0141-03773-8		
106117	Carr, E. H.	The Twenty Years' Crisis 1919-1939		Politics / International Relations	MacMillan	1939	Lending		0-333-31228-7		
104889	Carr, H. Wildon	Problem of Truth, The		Philosophy	T.C. & E.C. Jack	1925	Reference				H/93
700754	Carroll, Devin	Why Evolution?	Illustrated	Evolution	Family of Humanists	1998	Lending				P/17
103041	Carter, Ian	Gadfly, the Life and Times of James Shelley		Biography	Auckland University Press & Broadcasting History Trust	1993	Lending	1	1-86940-085-2		339/H
103041	Carter Lee	Lucifers Handbook	A simplified critique of popular religion	Philosophy	Llibrary of Congress	1977	Lending		0-918260-01-9		
100756	Catholic Encyclopedia. Vol. 1  	Aachen – Assize : 		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100081	Catholic Encyclopedia. Vol. 2  	Assize – Brown		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100777	Catholic Encyclopedia. Vol. 3  	Brow – Clancy		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100778	Catholic Encyclopedia. Vol. 4   	Cland – Diosecan		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100779	Catholic Encyclopedia. Vol. 5  	Diocese – Fathers		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100780	Catholic Encyclopedia. Vol. 6  	Fathers – Gregory		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100781	Catholic Encyclopedia. Vol. 7  	Gregory – Infallibility		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100782	Catholic Encyclopedia. Vol. 8  	Infamy – Lapparent		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100783	Catholic Encyclopedia. Vol. 9  	Laprade – Mass		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100784	Catholic Encyclopedia. Vol. 10  	Mass – Newman		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100785	Catholic Encyclopedia. Vol. 11  	New Mexico Philip 		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100786	Catholic Encyclopedia. Vol. 12  	Philip Revalidation :		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100787	Catholic Encyclopedia. Vol. 13  	Simon – Stock : Revelation									
100788	Catholic Encyclopedia. Vol. 14  	Simony – Touenely		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100791	Catholic Encyclopedia. Vol. 15  	Tournon – Zwirner – Errata		Encyclopedia / Catholic	Robert Appelton Company New York	1907	Reference				
100790	Cary, Joyce	Case For African Freedom, The		Politics	Secker & Warburg	1944	Reference				H/157
100789	Carmody Denise L & John T	Western Ways to The Center	An Introduction to The Relogions of the West	Theology      	Wadsworth U S A 	1991	Lending		0-534-13980-9		
104783	Cashdan, Sheldon	Witch Must Die, The: The Hidden Meaning of Fairy Tales		Fairy Tales	Basic Books	1999	Lending		0-465-00896-8	$12.00	P/283
103064	Cassels, Walter R.	Poems		Poetry	Smith Elder & Co.	1856	Reference				H/202
102905	Cassels, Walter R. [Anon.]	Reply to Dr Lightfoot's Essays, A		Christianity	Longmans, Green & Co	1889	Reference				H/
100758	Cassels, Walter R. [Anon.]	Supernatural Religion (Revised Edition)		Christianity	RPA	1903	Lending				H/920
100762	Cassels, Walter R. [Anon.]	Supernatural Religion: Complete Edition Vol 2		Christianity	Longmans Green & Watts	1879	Reference				H/479
100760	Cassels, Walter R. [Anon.]	Supernatural Religion: Complete Edition Vol 3		Christianity	Longmans Green & Watts	1879	Reference				H/683
106615	'Cassiel' pseud.	Encyclopedia of Black Magic	History and description 	Black magic	Mallard Press	1990	Lending		0792-45170-8		
106614	Cawthorne, Nigel	Doomsday;50 visions of the end of the World	Disaster predictions	Science	Capella	2004	Lending		1-84193-238-8		
100761	Cassels, Walter R. [Anonymous]	Supernatural Religion: Complete Edition Vol 1		Christianity	Longmans Green & Watts	1879	Reference				H486
100759	Cecil, Robert	The Masks of Death: Changing attitudes in the nineteenth century		Death  	The Book Guild Ltd.	1991	Lending		0-86332-607-2		
104926	Cellini Benvenuto	Autobiography of Celllini Benvenuto The		Autobiography		1936	Reference				
101838	Celsus	Celsus: On the True Doctrine		Christianity	Oxford University Press	1987	Lending		0-19-504151-8	$US 6.95	P/146
104187	Cervantes, Miguel de	Don Quixote de la Mancha		Fiction	Wordworth	1993	Lending				P/785
103051	Cervantes, Miguel de	Don Quixote de la Mancha		Fiction	Encyclopedia Brittanica	1952	Lending				H/429
100763	Chadwick, H. & Evans, G.R.	Atlas of the Christian Church		Christianity / Atlas	Macmillan	1987	Reference		0-333-44157-5		H/240
103081	Chadwick, Henry	Augustine		Biography / Augustine	Oxford University Press	1990	Lending		0-19-287534-5	$6.60	P/122
103065	Chalmers, A.F.	What is This Thing Called Science?		Theology	University of Queensland Press	1990	Lending		0-7022-3093-6		
104843	Chalmers, A.F.	What is This Thing Called Science?		Theology	University of Queensland Press	1999	Lending		0-7022-3093-6		P/266
103053	Chalmers, A.F.	What is This Thing Called Science?		Theology	University of Queensland Press	1982	Lending		0-7022-1831-6		P/179
102610	Chambers, George F.	Story of the Stars, The		Theology	George Newnes Ltd.	1899	Reference				H/192
100765	Champion, Selwyn Gurney	Eleven Religions and their Proverbial Law, The		Religion	George Routledge	1945	Reference				H/340
100768	Chapman, Colin	Christianity on trial 		Theology	Lion publishing	1981	Lending		978-0-745-912738		
