Barcode	Author	Title	Description	Keywords	Publisher	Date	Status	TimesLent	ISBN	Value	BindingPages
101054	Ambedkar Baba Saheb. Vol 1	Castes in India	Writings & Speeches	India	Gov't of Maharashtra	1989	Reference				
101079	Ambedkar Baba Saheb. Vol 2	Bombay legislature	Government India	India	Gov't of Maharashtra	1982	Reference				
101784	Ambedkar Baba Saheb. Vol 3	Philosophy of Hinduism : unpublished writings	Philosophy / India	India	Gov't of Maharashtra	1987	Reference				
101784	Ambedkar Baba Saheb. Vol 4	Untouchables : unpublished writings	History / India	India	Gov't of Maharashtra	1989	Reference				
101786	Ambedkar Baba Saheb. Vol 5	Ecomomics	Economics / India	India	Gov't of Maharashtra	1989	Reference				
101787	Ambedkar Baba Saheb. Vol 6	Who wre the Shudras	History / India	India	Gov't of Maharashtra	1990	Reference				
101788	Ambedkar Baba Saheb. Vol 7	Reprint of Pakistan	Partition of India	India	Gov't of Maharashtra	1990	Reference				
101789	Ambedkar Baba Saheb. Vol 8	What Congress & Ghandi have done to the untouchables	Political history / India	India	Gov't of Maharashtra	1991	Reference				
101790	Ambedkar Baba Saheb. Vol 9	Buddha & his Dhamma The	History / India	India	Gov't of Maharashtra	1992	Reference				
106660	Anatole France	The Life of Joan of Arc, Vol. 1 (translated by W Stephens)	History			1925	Reference				
106664	Anatole France	The Life of Joan of Arc, Vol. 2	Religious history								
106663	Anatole France	The Life of Joan of Arc, Vol. 3	Religious History								
106661	Anatole France	Mother of Pearl	procurator Judaea	religion							
100793	Anderson Benedict	Liberation of Germany, The                                                                         				1983	lending				
100032	Anderson & Leal	Enviro-Capitalists : Doing Good While Doing Well		Environmentalism / Capitalism	Rowman & Littlefield	1997	Lending		0-8476-8321-8	$45.95	H/189
100077	Anderson, G.W	Critical Introduction to the Old Testament		Biblical Studies	Duckworth	1962	Reference				H/261
104651	Applebaum Anne	Gulag	A History of the Soviet Camps			2003	Lending				
100033	Anderson, Terry L. & Huggins, Laura E.	Property Rights: A Practical Guide to Freedom and Prosperity		Politics / Philosophy	Hoover Institution Press	2003	Lending		0-8179-3912-1	$29.95	94/P
102552	Andrade & Huxley	Forces at Work		Science	Basil Blackwell	1946	Reference				H/270
100034	Andreski, Stanislav (Ed.)	Herbert Spencer: Structure, Function, and Evolution		Spencer, Herbert	Thomas Nelson and Sons	1972	Lending		0-17-712081-9		P/257
100035	Andrews, R. & Schellenberger, .	Tomb of God, The                                                                                   	A  solution to a 2,000 year old mysrery 	Jesus	Little, Brown & Co.	1996	Lending	2	0-316-87997-5		H/513
100035	Angeles, Peter (ed)	Critiques of God	A collection of essays by different authors	Essays / God	Prometheus Books	1976	Lending		0-87975-078-2		P/371
100036	Angeles, Peter A	Problem of God, The : A Short Introduction		Atheism	Prometheus Books	1980	Lending		0-87975-216-5		P/156
104144	Angell Norman	Human Nature & the Peace Problem	The human instinct to fight	Philosophy	W Collins & sons ltd.	1925	Lending				
100164	Angus, Samuel	Mystery - Religions and Christianity, The		Christianity / Other Religions	University Books	1966	Lending				H/359
101439	Anon.	One Hundred Great Lives: 	Revealing biographies of Scientists	Biography	Odhams Press Ltd.	1948	Lending			$4.00	H/760
102815	Anon.	Religions of the World, The		Comparative Religion	Charles Griffin and Company	1879	Reference				H/386
102803	Anon.	World's Most Famous Court Trial, The	 Tennessee Evolution Case	Scopes Trial	National Book Company	1925	Lending				H/339
100038	Anon.	World's Most Famous Court Trial, The 	 Tennessee Evolution Case	Scopes Trial	National Book Company	1925	Reference				H/339
106112	Anouilh, Jean	Becket	Translated by Lucienne Hill	Play	Methuen	1961	Lending				
106079	Apocrypha	Septuagint Apocrypha	Greek to english translation	Theology	Samuel Bagster & sons ltd London		Lending				
100039	Aquinas, St. Thomas	Summa Theologica VI		Theology	Encyclopedia Brittanica	1274	Lending				H/826
100040	Aquinas, St. Thomas	Summa Theologica VII		Theology	Encyclopedia Britannica	1274	Lending				H/1085
100041	Arch, Robert(Pseud) Robertson, Archibald	Whence, Whither and Why?		Philosophy	Watts & Co.	1926	Reference				H/106
104131	Archer  William	God & Mr Wells		Philosophy		1917	Reference				
